	AssignmentId	WorkerId	HITId	AssignmentStatus	AutoApprovalTime	AcceptTime	SubmitTime	ApprovalTime	Answer	RejectionTime	RequesterFeedback
0	3ZGVPD4G62UX8T5Z1OO19NO4LNOTZ0	A6Y7SZU9L301W	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:09:38-04:00	2022-04-17 11:05:34-04:00	2022-04-17 11:09:38-04:00	2022-04-17 16:11:36-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_2AHcQTdFMgYTR2G</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A6Y7SZU9L301W</FreeText></Answer></QuestionFormAnswers>"		
1	3RGU30DZTJL3VJABA5K3ZF5M8HFMJ7	A29YHMAWHW9SCB	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:11:54-04:00	2022-04-17 11:07:28-04:00	2022-04-17 11:11:54-04:00	2022-04-17 16:11:35-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_3qR1sKK5PgGjtwa</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>R_egKJpZodZIqouwF</FreeText></Answer></QuestionFormAnswers>"	2022-04-17 11:13:42-04:00	You need to install the chrome extension and provide the installation code to be approved for this HIT as per the final page instuctions
2	3E7TUJ2EGLZBLDRPB0UNRV4P3YB9DH	A1W7I6FN183I8F	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:13:13-04:00	2022-04-17 11:06:16-04:00	2022-04-17 11:13:13-04:00	2022-04-17 16:11:33-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_3npePtBOhI5vRUq</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A1W7I6FN183I8F</FreeText></Answer></QuestionFormAnswers>"		
3	3H0W84IWBTFMHJ1B1C5TOYM49WIER2	A2VO8C41JJIQY9	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:13:25-04:00	2022-04-17 11:05:30-04:00	2022-04-17 11:13:25-04:00	2022-04-17 16:11:33-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_1n9Dbasu8OEhdEY</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A2VO8C41JJIQY9</FreeText></Answer></QuestionFormAnswers>"		
4	3CPLWGV3MXCK7PI20U8QN0GJH2D9NZ	AG36U7IOG2LAP	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:13:33-04:00	2022-04-17 11:05:34-04:00	2022-04-17 11:13:33-04:00	2022-04-17 16:11:33-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_24MEdK5bFPR51bC</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_AG36U7IOG2LAP</FreeText></Answer></QuestionFormAnswers>"		
5	3R0T90IZ11PGVV8JPA5MZ68UMBUCGB	A2S4CVETZQ2H4F	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:16:12-04:00	2022-04-17 11:05:31-04:00	2022-04-17 11:16:12-04:00	2022-04-17 16:11:35-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_3EhH1FteaxuZiem</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A2S4CVETZQ2H4F</FreeText></Answer></QuestionFormAnswers>"		
6	35LDD5557JHY63GTSQKF0U5ZN6FMK6	A1EUQS74TV2OO1	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:16:39-04:00	2022-04-17 11:07:08-04:00	2022-04-17 11:16:39-04:00	2022-04-17 16:11:32-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_2bJeU5WgPyoN1EV</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A1EUQS74TV2001</FreeText></Answer></QuestionFormAnswers>"		
7	3MTMREQS44VOZ21LK1DDFE4UGWZWAS	A3BI0AX5T5GVO3	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:17:25-04:00	2022-04-17 11:09:11-04:00	2022-04-17 11:17:25-04:00	2022-04-17 16:11:35-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_2fv5BZtWiTSYjxb</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>I did not receive an extenision installation code from this survey.</FreeText></Answer></QuestionFormAnswers>"	2022-04-17 12:47:30-04:00	Did not provide correct installation code
8	3OJSZ2ATD19C3HO3HXEKFNPRVRP75V	A3CGQOJC28OVGN	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:19:20-04:00	2022-04-17 11:05:31-04:00	2022-04-17 11:19:20-04:00	2022-04-17 16:11:35-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_ypF4Bu2VCdkDHPj</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A3CGQOJC28OVGN</FreeText></Answer></QuestionFormAnswers>"		
9	31LVTDXBLGN0NPB3IYSX1TCOITJRL2	A3L0Z9IBVL6CM0	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:21:30-04:00	2022-04-17 11:09:11-04:00	2022-04-17 11:21:30-04:00	2022-04-17 16:11:32-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_2wdIax7eFvZpeJo</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A3L0Z9IBVL6CM0</FreeText></Answer></QuestionFormAnswers>"		
10	3WLEIWSYHXUHX9BSCNYY8TB9PKUH26	A2Z6NL0CTXY0ZB	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:22:27-04:00	2022-04-17 11:05:30-04:00	2022-04-17 11:22:27-04:00	2022-04-17 16:11:36-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_3fry3oVDN2C7DNO</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A2Z6NL0CTXY0ZB</FreeText></Answer></QuestionFormAnswers>"		
11	3H8DHMCCWIOV29AGFXLCH4I5ESODKG	A1JO6AY55FG7QU	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:24:51-04:00	2022-04-17 11:13:49-04:00	2022-04-17 11:24:51-04:00	2022-04-17 16:11:33-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_2cAe15W5iEwFBhZ</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A1JO6AY55FG7QU</FreeText></Answer></QuestionFormAnswers>"		
12	33ISQZVXPYZ3EJSENO939FNFOJ2CC1	A3SA97VT1923NN	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:27:39-04:00	2022-04-17 11:05:34-04:00	2022-04-17 11:27:39-04:00	2022-04-17 16:11:31-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_2t9TkwlANc4jaMk</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A3SA97VT1923NN</FreeText></Answer></QuestionFormAnswers>"		
13	3RKNTXVS3VBCQ0I1AV7UKML3W304AE	A2330N30DHHK7L	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:30:19-04:00	2022-04-17 11:05:30-04:00	2022-04-17 11:30:19-04:00	2022-04-17 16:11:35-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_3s5QsCoC0Kcr8TS</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A2330N30DHHK7L</FreeText></Answer></QuestionFormAnswers>"		
14	3NL0RFNU0O0I2DRNMMKJE0OZ1FUK49	A3PYD7EU2WFST6	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:38:28-04:00	2022-04-17 11:05:32-04:00	2022-04-17 11:38:28-04:00	2022-04-17 16:11:31-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_2Tu8Ojff3pNgdPL</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>Can't generate, Says Invalid Passcode</FreeText></Answer></QuestionFormAnswers>"	2022-04-17 12:47:31-04:00	Did not provide correct installation code
15	3M81GAB8A9WOYFARE6E3I06EAD3QBD	A3PRZRK9IC5CBI	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:39:04-04:00	2022-04-17 11:10:54-04:00	2022-04-17 11:39:04-04:00	2022-04-17 16:11:34-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_1dNA1H6JiDpev43</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A3PRZRK9IC5CBI</FreeText></Answer></QuestionFormAnswers>"		
16	3GLB5JMZF68Q0NEXP60XJCQC7B9GDI	A3HZFB2JLF3JMY	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:39:38-04:00	2022-04-17 11:32:42-04:00	2022-04-17 11:39:38-04:00	2022-04-17 16:11:33-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_1LvYYOts5YW6QrB</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A3HZFB2JLF3JMY</FreeText></Answer></QuestionFormAnswers>"		
17	3JAOYWH7VRHUJPFHOHSBA8CUC7D9LX	AMEANKF29NERQ	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:40:52-04:00	2022-04-17 11:09:01-04:00	2022-04-17 11:40:52-04:00	2022-04-17 16:11:33-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_1IgTMhmE4j9ArPI</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_AMEANKF29NERQ</FreeText></Answer></QuestionFormAnswers>"		
18	3KJYX6QCMIOML64KOXLUMBOZZATVJZ	A3914P24XPNPY3	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:42:04-04:00	2022-04-17 11:29:37-04:00	2022-04-17 11:42:04-04:00	2022-04-17 16:11:33-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_3ReeOB6K9gPkhHN</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A3914P24XPNPY3</FreeText></Answer></QuestionFormAnswers>"		
19	3GA6AFUKOX16IR7BGNC3R3G1VYUH3H	A9V9M64SG19KF	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:43:18-04:00	2022-04-17 11:05:31-04:00	2022-04-17 11:43:18-04:00	2022-04-17 16:11:33-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_3RkJb5dfEDqLZ2s</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>A9V9M64SG19KF</FreeText></Answer></QuestionFormAnswers>"	2022-04-17 12:47:31-04:00	Did not provide correct installation code
20	3C44YUNSIA2WD07WSPQKDL4482TPDS	A3TS3ZKMHWF7F7	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:53:03-04:00	2022-04-17 11:06:16-04:00	2022-04-17 11:53:03-04:00	2022-04-17 16:11:33-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_1hLLOsiOulygYoR</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A3TS3ZKMHWF7F7</FreeText></Answer></QuestionFormAnswers>"		
21	3ZPPDN2SL49GDJ5P7V57XDMA3AC9EA	A1VDIKUDA0IXZ4	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:55:51-04:00	2022-04-17 11:05:31-04:00	2022-04-17 11:55:51-04:00	2022-04-17 16:11:36-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_qC4vQEdjpWAPRzb</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A1VDIKUDA0IXZ4</FreeText></Answer></QuestionFormAnswers>"		
22	3A4NIXBJ7FC9Q9YBDQWGFUIEC6KML9	A3GNJBISE159VU	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:56:52-04:00	2022-04-17 11:26:32-04:00	2022-04-17 11:56:52-04:00	2022-04-17 16:11:33-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_yqG1m45kTashvdD</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A3GNJBISE159VU</FreeText></Answer></QuestionFormAnswers>"		
23	3D8YOU6S9NXAKW0DZOH0HLHBZXYU61	A3D70ANCSMGX5F	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 12:03:02-04:00	2022-04-17 11:06:27-04:00	2022-04-17 12:03:02-04:00	2022-04-17 16:11:33-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_3feqi2Om3JfuXsS</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A3D70ANCSMGX5F</FreeText></Answer></QuestionFormAnswers>"		
24	3SKEMFQBZCIJLEEPYPAWVC4431QK8G	A121L68TB4XVHJ	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 12:05:13-04:00	2022-04-17 11:05:35-04:00	2022-04-17 12:05:13-04:00	2022-04-17 16:11:35-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_1CcZD380q9KFhvq</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>IYr8+GTRrAo5glNjCADJ7gO+5UAySH4Ea3Ljca1j</FreeText></Answer></QuestionFormAnswers>"	2022-04-17 12:47:29-04:00	Did not provide correct installation code
25	35K3O9HUAKQPETW2AH5Z798L687FE8	AKSJ3C5O3V9RB	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 12:06:17-04:00	2022-04-17 11:32:42-04:00	2022-04-17 12:06:17-04:00	2022-04-17 16:11:31-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_2y7Y1ypkQG78eRR</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_AKSJ3C5O3V9RB</FreeText></Answer></QuestionFormAnswers>"		
26	3LYA37P8IZ02NCCW11U6MEU5B7BKBF	A2D8LB2RPJXMSQ	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 12:12:06-04:00	2022-04-17 12:08:09-04:00	2022-04-17 12:12:06-04:00	2022-04-17 16:11:34-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_R4FWadFaxDQl465</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A2D8LB2RPJXMSQ</FreeText></Answer></QuestionFormAnswers>"		
27	320DUZ38GGZ339EPZ2M8MALPCV7JG0	ACJ6NSCIWMUZI	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 12:12:48-04:00	2022-04-17 11:52:40-04:00	2022-04-17 12:12:48-04:00	2022-04-17 16:11:31-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_2zBURm8Wnbzy4Hg</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_ACJ6NSCIWMUZI</FreeText></Answer></QuestionFormAnswers>"		
