StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Consent	QID1	Q7_1	Q7_2	Q7_3	Q7_4	Q7_5	Q7_6	Q7_7	Q7_8	Q16	ResponseID	RandomID
2022-04-25 15:31:29	2022-04-25 15:31:51	IP Address	69.77.229.127	100	21	TRUE	2022-04-25 15:31:51	R_2SCDVlNnzFQOlC4					43.6204	-96.9414	anonymous	EN	I consent, continue	Not interested at all	About once a week	Never	Never	About once a week	Less often	Less often	4	4		R_2SCDVlNnzFQOlC4	460130
2022-04-25 15:31:27	2022-04-25 15:31:56	IP Address	72.211.151.108	100	29	TRUE	2022-04-25 15:31:56	R_2782cCM8NkMjF4J					33.3322	-111.9942	anonymous	EN	I consent, continue	Interested	Less often	Never	Less often	About once a day	Less often	Less often	4	4		R_2782cCM8NkMjF4J	687166
2022-04-25 15:31:36	2022-04-25 15:32:10	IP Address	73.131.133.185	100	33	TRUE	2022-04-25 15:32:10	R_DCuGB6xUJxTmm5j					32.9918	-80.1187	anonymous	EN	I consent, continue	Moderately interested	Less often	Less often	4	4	Never	Several times a day	Several times a day	4		R_DCuGB6xUJxTmm5j	734513
2022-04-25 15:31:33	2022-04-25 15:32:14	IP Address	96.41.142.86	100	41	TRUE	2022-04-25 15:32:14	R_1eIB5WDbAv0M46j					42.3956	-123.3528	anonymous	EN	I consent, continue	Moderately interested	About once a day	Less often	Less often	4	About once a day	Less often	4	About once a week		R_1eIB5WDbAv0M46j	495520
2022-04-25 15:31:36	2022-04-25 15:32:18	IP Address	74.71.23.203	100	42	TRUE	2022-04-25 15:32:19	R_3MGrXOxJa6AZlDE					40.8	-73.9763	anonymous	EN	I consent, continue	Moderately interested	Less often	Less often	Never	About once a day	Never	Less often	Never	Less often		R_3MGrXOxJa6AZlDE	522234
2022-04-25 15:31:41	2022-04-25 15:32:24	IP Address	76.107.77.40	100	43	TRUE	2022-04-25 15:32:24	R_2PbtKdSORB9kOQ9					32.4699	-90.1102	anonymous	EN	I consent, continue	Interested	4	4	4	Several times a day	A few days a week	A few days a week	A few days a week	4		R_2PbtKdSORB9kOQ9	707507
2022-04-25 15:31:29	2022-04-25 15:32:27	IP Address	98.58.161.58	100	57	TRUE	2022-04-25 15:32:27	R_2zwkxOtZcA0nRUI					26.0162	-80.1955	anonymous	EN	I consent, continue	Very Interested	Less often	Less often	Less often	A few days a week	About once a day	Several times a day	A few days a week	4		R_2zwkxOtZcA0nRUI	632230
2022-04-25 15:31:44	2022-04-25 15:32:30	IP Address	185.202.220.13	100	45	TRUE	2022-04-25 15:32:30	R_3sihnO7adeKbw1Y					40.7876	-74.06	anonymous	EN	I consent, continue	Moderately interested	Less often	Never	Never	About once a day	Never	About once a day	Never	Never		R_3sihnO7adeKbw1Y	480035
2022-04-25 15:31:35	2022-04-25 15:32:34	IP Address	174.28.181.152	100	59	TRUE	2022-04-25 15:32:35	R_2rllKcfGQM0TjuO					35.1518	-106.5789	anonymous	EN	I consent, continue	Very Interested	Several times a day	Less often	Never	About once a day	A few days a week	A few days a week		4		R_2rllKcfGQM0TjuO	936186
2022-04-25 15:31:53	2022-04-25 15:33:03	IP Address	72.89.2.87	100	70	TRUE	2022-04-25 15:33:04	R_1IGHqOGbm5pCM4T					40.6446	-73.9743	anonymous	EN	I consent, continue	Interested	Several times a day	Less often	Never	Several times a day	Several times a day	About once a day	Several times a day	About once a day		R_1IGHqOGbm5pCM4T	207176
2022-04-25 15:32:30	2022-04-25 15:33:07	IP Address	174.106.181.250	100	37	TRUE	2022-04-25 15:33:08	R_3DiM6jr0PbuVjo2					35.0352	-76.7016	anonymous	EN	I consent, continue	Interested	4	Less often	Less often	About once a day	About once a week	About once a day	Less often	4		R_3DiM6jr0PbuVjo2	892446
2022-04-25 15:32:00	2022-04-25 15:33:08	IP Address	73.189.147.24	100	68	TRUE	2022-04-25 15:33:08	R_1GOEI6j8JRPrCTn					38.5463	-122.8047	anonymous	EN	I consent, continue	Very Interested	Several times a day	About once a day	Never	About once a week	About once a week	About once a week	About once a week	4		R_1GOEI6j8JRPrCTn	687022
2022-04-25 15:32:56	2022-04-25 15:33:16	IP Address	104.224.29.41	100	20	TRUE	2022-04-25 15:33:16	R_1msBwck3UKDXDSi					39.018	-77.539	anonymous	EN	I consent, continue	Very Interested	About once a week	Never	4	4	A few days a week	Less often	4			R_1msBwck3UKDXDSi	987543
2022-04-25 15:33:31	2022-04-25 15:33:55	IP Address	170.39.185.245	100	23	TRUE	2022-04-25 15:33:55	R_3rINcMu98ANgP5S					39.018	-77.539	anonymous	EN	I consent, continue	Interested	About once a day	About once a day	About once a day	A few days a week	A few days a week	About once a week	A few days a week	About once a day		R_3rINcMu98ANgP5S	107923
2022-04-25 15:33:39	2022-04-25 15:33:58	IP Address	45.61.175.152	100	18	TRUE	2022-04-25 15:33:58	R_2B5S3rpZPs7Mr8U					40.7876	-74.06	anonymous	EN	I consent, continue	Very Interested	Less often	A few days a week	About once a week	About once a week	Less often	About once a day	About once a day	Less often		R_2B5S3rpZPs7Mr8U	891208
2022-04-25 15:33:10	2022-04-25 15:34:02	IP Address	24.243.160.111	100	51	TRUE	2022-04-25 15:34:02	R_3R3kApsAeoBUJRS					30.0756	-94.102	anonymous	EN	I consent, continue	Very Interested	Less often	Never	Less often	Never	Less often	Never	Less often	Never		R_3R3kApsAeoBUJRS	540427
2022-04-25 15:33:28	2022-04-25 15:34:14	IP Address	173.24.227.204	100	46	TRUE	2022-04-25 15:34:14	R_1gMuWixiFJeqeuV					37.168	-93.3039	anonymous	EN	I consent, continue	Moderately interested	About once a week	Less often	Less often	About once a day	Never	Never	Never	A few days a week		R_1gMuWixiFJeqeuV	182826
2022-04-25 15:34:09	2022-04-25 15:34:29	IP Address	45.59.127.73	100	20	TRUE	2022-04-25 15:34:30	R_1mCOM2opt7mGmv6					39.018	-77.539	anonymous	EN	I consent, continue	Interested	About once a day	About once a week	About once a day	A few days a week	A few days a week	4	A few days a week	4		R_1mCOM2opt7mGmv6	369197
2022-04-25 15:32:33	2022-04-25 15:35:00	IP Address	208.218.225.25	100	146	TRUE	2022-04-25 15:35:00	R_3lyOoD6LsvfobWi					40.8023	-73.7329	anonymous	EN	I consent, continue	Very Interested	A few days a week	4	About once a week	Less often	About once a week	4	A few days a week	4		R_3lyOoD6LsvfobWi	797710
2022-04-25 15:33:38	2022-04-25 15:35:01	IP Address	107.77.169.60	100	82	TRUE	2022-04-25 15:35:01	R_BVtLRmUdOoMw7GV					32.7797	-96.8022	anonymous	EN	I consent, continue	Interested	About once a week	A few days a week	A few days a week	About once a day	About once a week	A few days a week	Several times a day	About once a week		R_BVtLRmUdOoMw7GV	633366
2022-04-25 15:34:58	2022-04-25 15:36:04	IP Address	176.102.123.148	100	66	TRUE	2022-04-25 15:36:04	R_2cB09PUQNb74Vtp					39.018	-77.539	anonymous	EN	I consent, continue	Very Interested	About once a day	About once a day	About once a week	About once a day	Several times a day	About once a day	About once a day	Several times a day		R_2cB09PUQNb74Vtp	830130
2022-04-25 15:35:22	2022-04-25 15:36:08	IP Address	98.235.48.27	100	45	TRUE	2022-04-25 15:36:08	R_1Ok0JfBixJ3YptQ					40.2744	-76.7062	anonymous	EN	I consent, continue	Moderately interested	A few days a week	Never	About once a week	Several times a day	Never	Never	A few days a week	Less often		R_1Ok0JfBixJ3YptQ	245604
2022-04-25 15:33:54	2022-04-25 15:36:11	IP Address	108.216.4.79	100	136	TRUE	2022-04-25 15:36:11	R_TcQYXSBVJaBejjX					29.9475	-81.5264	anonymous	EN	I consent, continue	Very Interested	Less often	About once a week	A few days a week	Several times a day	Several times a day	Less often	Never	About once a week		R_TcQYXSBVJaBejjX	951705
2022-04-25 15:36:06	2022-04-25 15:36:38	IP Address	23.84.65.142	100	31	TRUE	2022-04-25 15:36:38	R_12JWCb7RpsAEidP					38.4321	-90.3896	anonymous	EN	I consent, continue	Interested	Never	Never	Less often	Several times a day	Never	Several times a day	Several times a day	A few days a week		R_12JWCb7RpsAEidP	690775
2022-04-25 15:36:16	2022-04-25 15:36:58	IP Address	73.242.143.138	100	42	TRUE	2022-04-25 15:36:58	R_27jIHYNTxXjNbcM					35.0712	-106.5768	anonymous	EN	I consent, continue	Very Interested	About once a day	Several times a day	About once a day	Several times a day	About once a day	Several times a day	About once a day	About once a day		R_27jIHYNTxXjNbcM	522004
2022-04-25 15:35:45	2022-04-25 15:37:23	IP Address	107.77.235.24	100	98	TRUE	2022-04-25 15:37:23	R_2UhiyOs96o2Nb9E					33.7485	-84.3871	anonymous	EN	I consent, continue	Very Interested	A few days a week	About once a day	About once a week	Several times a day	Several times a day	Several times a day	Several times a day	About once a day		R_2UhiyOs96o2Nb9E	911415
2022-04-25 15:36:05	2022-04-25 15:37:25	IP Address	208.218.230.42	100	80	TRUE	2022-04-25 15:37:25	R_1BS3uvOXR9kzdsc					39.9703	-75.0617	anonymous	EN	I consent, continue	Interested	About once a day	Several times a day	A few days a week	Several times a day	Several times a day	About once a week	About once a day	About once a day		R_1BS3uvOXR9kzdsc	998214
2022-04-25 15:37:07	2022-04-25 15:37:36	IP Address	73.123.179.39	100	28	TRUE	2022-04-25 15:37:36	R_1LLR3qcTQT3ecWr					42.4609	-71.0074	anonymous	EN	I consent, continue	Slightly Interested	Never	Never	Less often	Less often	Never	Never	A few days a week	Less often		R_1LLR3qcTQT3ecWr	461238
2022-04-25 15:37:33	2022-04-25 15:38:07	IP Address	76.188.236.153	100	33	TRUE	2022-04-25 15:38:07	R_1Om0zFipW0hbYBh					41.2307	-80.4539	anonymous	EN	I consent, continue	Moderately interested	A few days a week	Never	Never	About once a day	Never	About once a day	Never	Less often		R_1Om0zFipW0hbYBh	332484
2022-04-25 15:37:22	2022-04-25 15:38:20	IP Address	73.160.14.40	100	57	TRUE	2022-04-25 15:38:20	R_31QIS2hjUPihMPM					40.5833	-74.277	anonymous	EN	I consent, continue	Interested	About once a week	Never	Never	A few days a week	Never	Several times a day	A few days a week	A few days a week		R_31QIS2hjUPihMPM	259961
2022-04-25 15:37:51	2022-04-25 15:40:06	IP Address	109.121.2.173	100	135	TRUE	2022-04-25 15:40:06	R_2cbTRf1DDQZCxXu					40.738	-74.1634	anonymous	EN	I consent, continue	Very Interested	Several times a day	About once a day	About once a week	About once a day	About once a day	Several times a day	About once a day	About once a week		R_2cbTRf1DDQZCxXu	821989
2022-04-25 15:40:08	2022-04-25 15:40:40	IP Address	71.80.195.252	100	31	TRUE	2022-04-25 15:40:40	R_28MAFQltkFpwMv9					47.0046	-120.5068	anonymous	EN	I consent, continue	Slightly Interested	Never	Less often	Never	About once a day	About once a day	About once a day	About once a day	About once a day		R_28MAFQltkFpwMv9	315258
2022-04-25 15:39:49	2022-04-25 15:40:42	IP Address	63.161.76.70	100	52	TRUE	2022-04-25 15:40:42	R_3k1yhoi251crn7t					39.0019	-77.4556	anonymous	EN	I consent, continue	Very Interested	Several times a day	About once a day	A few days a week	Several times a day	Several times a day	Several times a day	A few days a week	About once a day		R_3k1yhoi251crn7t	816136
2022-04-25 15:32:48	2022-04-25 15:40:45	IP Address	63.161.78.180	100	477	TRUE	2022-04-25 15:40:45	R_3szuzNVj8eSmVAL					39.0019	-77.4556	anonymous	EN	I consent, continue	Very Interested	Several times a day	About once a day	A few days a week	Several times a day	Several times a day	Several times a day	About once a day	4		R_3szuzNVj8eSmVAL	230003
2022-04-25 15:40:56	2022-04-25 15:41:19	IP Address	45.87.63.165	100	22	TRUE	2022-04-25 15:41:19	R_2AMrrctafZ6iuj8					39.018	-77.539	anonymous	EN	I consent, continue	Interested	About once a day	Less often	About once a week	A few days a week	About once a week	A few days a week	About once a day	Less often		R_2AMrrctafZ6iuj8	634919
2022-04-25 15:40:36	2022-04-25 15:41:33	IP Address	209.40.114.199	100	56	TRUE	2022-04-25 15:41:33	R_8GrKJEPzwQuu5ep					39.0469	-77.4903	anonymous	EN	I consent, continue	Very Interested	Several times a day	Several times a day	About once a week	Several times a day	A few days a week	A few days a week	About once a week	Less often		R_8GrKJEPzwQuu5ep	508395
2022-04-25 15:40:22	2022-04-25 15:41:42	IP Address	208.218.225.57	100	79	TRUE	2022-04-25 15:41:42	R_1N3OiQLf0rrMbrt					40.8023	-73.7329	anonymous	EN	I consent, continue	Interested	A few days a week	About once a day	About once a week	About once a week	About once a day	About once a day	A few days a week	About once a week		R_1N3OiQLf0rrMbrt	243122
2022-04-25 15:41:51	2022-04-25 15:42:29	IP Address	173.170.197.182	100	38	TRUE	2022-04-25 15:42:29	R_3RyEV9rFrQZJ0Fd					28.3836	-82.511	anonymous	EN	I consent, continue	Interested	Never	Less often	About once a week	Several times a day	About once a day	About once a day	About once a day	About once a day		R_3RyEV9rFrQZJ0Fd	514225
2022-04-25 15:41:54	2022-04-25 15:43:37	IP Address	67.191.249.71	100	103	TRUE	2022-04-25 15:43:37	R_5AZbE9lAh5WowiB					34.2319	-84.1627	anonymous	EN	I consent, continue	Interested	Several times a day	Never	Several times a day	Several times a day	Several times a day	Several times a day	About once a day	About once a day		R_5AZbE9lAh5WowiB	781910
2022-04-25 15:43:29	2022-04-25 15:43:48	IP Address	185.162.74.216	100	19	TRUE	2022-04-25 15:43:49	R_3JIXJebOTDAB30v					39.018	-77.539	anonymous	EN	I consent, continue	Interested	About once a day	About once a week	About once a day	About once a day	A few days a week	A few days a week	Less often	Less often		R_3JIXJebOTDAB30v	773729
2022-04-25 15:42:37	2022-04-25 15:43:54	IP Address	74.64.38.26	100	76	TRUE	2022-04-25 15:43:54	R_1kTH4lWxsHwrly0					40.7263	-73.9818	anonymous	EN	I consent, continue	Moderately interested	A few days a week	Never	Never	Several times a day	About once a day	About once a day	Several times a day	Several times a day		R_1kTH4lWxsHwrly0	697329
2022-04-25 15:42:44	2022-04-25 15:44:04	IP Address	64.112.85.230	100	80	TRUE	2022-04-25 15:44:05	R_zVcnjd7Gm2Lxexz					33.9214	-118.413	anonymous	EN	I consent, continue	Interested	Several times a day	A few days a week	About once a week	A few days a week	A few days a week	Never		Less often		R_zVcnjd7Gm2Lxexz	399884
2022-04-25 15:42:53	2022-04-25 15:44:10	IP Address	208.218.226.0	100	77	TRUE	2022-04-25 15:44:11	R_9M6kyzO7VlbaafT					40.8023	-73.7329	anonymous	EN	I consent, continue	Interested	Several times a day	Several times a day	Less often	About once a day	About once a day	A few days a week	About once a day	A few days a week		R_9M6kyzO7VlbaafT	108158
2022-04-25 15:43:41	2022-04-25 15:44:14	IP Address	173.242.140.10	100	33	TRUE	2022-04-25 15:44:15	R_2YDLPc9WogxA2Rj					37.8976	-86.2175	anonymous	EN	I consent, continue	Slightly Interested	Never	Never	Less often	A few days a week	About once a week	Never	About once a day	Less often		R_2YDLPc9WogxA2Rj	951378
2022-04-25 15:43:36	2022-04-25 15:44:17	IP Address	68.197.47.79	100	41	TRUE	2022-04-25 15:44:17	R_5bu5G9eBcGcStQB					40.8446	-74.5749	anonymous	EN	I consent, continue	Not interested at all	About once a week	Never	Less often	A few days a week	About once a week	A few days a week		Less often		R_5bu5G9eBcGcStQB	897824
2022-04-25 15:44:14	2022-04-25 15:44:39	IP Address	98.114.69.57	100	25	TRUE	2022-04-25 15:44:40	R_3eqzJeyJMbNpcSs					40.1435	-75.3779	anonymous	EN	I consent, continue	Moderately interested	Never	Less often	Never	About once a day	Never	Never	A few days a week	About once a day		R_3eqzJeyJMbNpcSs	683242
2022-04-25 15:45:09	2022-04-25 15:45:40	IP Address	73.251.148.185	100	30	TRUE	2022-04-25 15:45:40	R_31SNGEm7Hh7UXcj					37.5453	-77.9187	anonymous	EN	I consent, continue	Interested	A few days a week	Never	Less often	Several times a day	Less often	A few days a week	Several times a day	About once a day		R_31SNGEm7Hh7UXcj	179329
2022-04-25 15:45:55	2022-04-25 15:46:17	IP Address	104.224.30.179	100	22	TRUE	2022-04-25 15:46:18	R_1mOiHJ8nga6n6O7					39.018	-77.539	anonymous	EN	I consent, continue	Slightly Interested	About once a week	A few days a week	A few days a week		A few days a week	About once a day		A few days a week		R_1mOiHJ8nga6n6O7	914032
2022-04-25 15:46:18	2022-04-25 15:46:56	IP Address	76.115.45.184	100	38	TRUE	2022-04-25 15:46:56	R_2qmDMmMfFo2Kg6f					44.6554	-123.135	anonymous	EN	I consent, continue	Interested	About once a week	Never	Less often	About once a day	Never	A few days a week	About once a week	About once a week		R_2qmDMmMfFo2Kg6f	150165
